DC_full_loss_train,DC_full_acc_test,DC_full_loss_test
46.025291442871094,0.1001,346.53448486328125
43.9935417175293,0.0771,277.5775146484375
50.07857131958008,0.1564,318.0886535644531
43.743228912353516,0.1252,528.4796142578125
52.90740203857422,0.0686,382.3266906738281
50.504295349121094,0.1062,336.74298095703125
47.17670440673828,0.1012,424.0614929199219
44.35041046142578,0.0782,501.2719421386719
44.79829025268555,0.0623,405.29986572265625
38.59817886352539,0.0823,369.8100891113281
46.5056266784668,0.0806,472.754638671875
38.3361930847168,0.0967,256.7745361328125
39.64411926269531,0.092,247.27188110351562
33.61687088012695,0.1159,276.762451171875
39.85689926147461,0.0925,343.56732177734375
44.2145881652832,0.0969,336.31134033203125
35.55827331542969,0.1089,343.9295349121094
28.413270950317383,0.0894,423.70965576171875
34.13046646118164,0.0749,349.3536071777344
38.59975051879883,0.1186,577.1454467773438
46.06813430786133,0.1254,575.9485473632812
51.74168395996094,0.0612,583.7742309570312
28.428077697753906,0.0836,693.5065307617188
22.258729934692383,0.0865,573.512939453125
37.38134002685547,0.0899,597.7966918945312
28.040771484375,0.0694,715.917236328125
47.894290924072266,0.0716,707.1533813476562
23.449098587036133,0.0808,781.85107421875
38.817840576171875,0.1099,608.78857421875
22.0419979095459,0.0754,781.4918212890625
29.32034683227539,0.0832,1340.69189453125
37.7730712890625,0.0899,845.4515991210938
23.094099044799805,0.0682,756.0089111328125
21.41533660888672,0.1034,910.869384765625
32.7984619140625,0.1074,1227.4610595703125
29.134428024291992,0.0956,1161.0306396484375
26.452062606811523,0.0986,731.6361083984375
28.330493927001953,0.0715,876.3704223632812
27.3079891204834,0.0951,946.2994995117188
37.208152770996094,0.0921,1340.2991943359375
28.59358787536621,0.0856,1303.1827392578125
25.709877014160156,0.1023,1050.046630859375
26.902244567871094,0.1035,1267.2552490234375
34.756622314453125,0.1013,1208.9306640625
29.14429473876953,0.1039,1111.4814453125
36.93224334716797,0.1039,671.3085327148438
26.060354232788086,0.0939,704.8202514648438
29.695178985595703,0.1238,724.36279296875
25.171646118164062,0.0995,996.5618896484375
27.08721923828125,0.1151,951.3342895507812
28.507671356201172,0.0825,929.4083862304688
26.68445587158203,0.0915,1507.341552734375
31.983842849731445,0.0621,1418.4964599609375
32.03428268432617,0.0708,1534.27294921875
28.43385124206543,0.0875,1154.261474609375
27.95506477355957,0.0485,1604.2486572265625
33.085479736328125,0.046,1302.192138671875
35.26242446899414,0.0823,1257.205322265625
29.781455993652344,0.0932,1273.8763427734375
38.189029693603516,0.0953,1634.4072265625
44.54848098754883,0.0885,1939.6689453125
49.21556091308594,0.0869,2192.061767578125
34.7482795715332,0.1082,2124.771240234375
30.513486862182617,0.1231,2176.16748046875
38.004215240478516,0.1295,2438.43017578125
39.65394592285156,0.0929,2411.324462890625
43.45699691772461,0.1235,2323.81396484375
45.96380615234375,0.0905,2987.450439453125
37.701019287109375,0.1148,3569.65234375
30.813426971435547,0.1042,3317.49462890625
41.29155349731445,0.0687,3422.837646484375
27.200878143310547,0.055,3364.75244140625
45.29334259033203,0.0643,3310.8203125
35.822662353515625,0.0733,2950.01708984375
53.12440490722656,0.0881,3204.504638671875
46.223052978515625,0.0918,2463.1748046875
46.05691146850586,0.0742,2185.547607421875
52.97492599487305,0.1195,2531.00048828125
49.14474105834961,0.0966,1829.38916015625
31.85099220275879,0.1167,2106.2236328125
35.43700408935547,0.12,2345.72412109375
39.6202278137207,0.1295,2637.718505859375
80.9457015991211,0.1359,1978.1357421875
34.12142562866211,0.0945,1845.65185546875
36.53272247314453,0.1009,1987.188232421875
36.24229049682617,0.157,1650.280517578125
36.95551681518555,0.1619,1872.09521484375
36.20732879638672,0.1312,2174.0087890625
47.00514221191406,0.1147,2339.509765625
37.67185592651367,0.1271,2876.22314453125
