epoch,Noiseless_acc_test,Proposed_acc_test,NoDS_acc_test,NoRIS_acc_test,DC_full_acc_test
330,0.687,0.1523,0.126,0.0972,0.0793
331,0.6874,0.1482,0.1099,0.1021,0.0686
332,0.6881,0.1594,0.1243,0.103,0.0976
333,0.6886,0.1357,0.1092,0.093,0.1239
334,0.6885,0.135,0.1246,0.0673,0.1162
335,0.6889,0.167,0.1214,0.0748,0.0886
336,0.689,0.1475,0.1206,0.0701,0.0593
337,0.6891,0.1246,0.1579,0.0685,0.0605
338,0.6893,0.1378,0.1455,0.0707,0.0473
339,0.6906,0.1111,0.1355,0.0663,0.0685
340,0.6906,0.1319,0.1118,0.1061,0.0412
341,0.691,0.1617,0.1061,0.0871,0.0526
342,0.6914,0.0935,0.0806,0.0696,0.0768
343,0.6917,0.1342,0.0784,0.059,0.06
344,0.6915,0.0905,0.0979,0.1046,0.0659
345,0.6925,0.0678,0.0883,0.0931,0.0748
346,0.6929,0.083,0.0886,0.0568,0.1128
347,0.693,0.0703,0.0791,0.0396,0.0851
348,0.6935,0.112,0.0701,0.0652,0.1186
349,0.6935,0.1282,0.0566,0.0417,0.1375
350,0.6941,0.1157,0.0669,0.0629,0.0871
